City,State,Country,Latitude,Longitude,Timezone,Timestamp (OpenWeatherMap),Sunrise,Sunset,Temperature,Feels Like (Day),Feels Like (Night),Pressure,Humidity,Dew Point,UV Index,Cloud Cover,Visibility,Wind Speed,Wind Direction,Wind Gust,Weather Description,Max Temperature,Min Temperature,AQI,PM2.5,PM10,O3,CO
Visakhapatnam,Andhra Pradesh,India,17.69,83.2093,19800,2024-09-20 08:50:26,00:15,12:25,32.6,38.0,38.0,994.0,59,23.5,5,60,16,2.3,144,N/A,Scattered clouds,31.4,27.5,5,240.88,261.69,1.68,3337.86
Vijayawada,Andhra Pradesh,India,16.5167,80.6167,19800,2024-09-20 08:50:26,00:25,12:34,35.0,41.5,41.5,999.3,52,23.7,9,0,16,5.14,300,N/A,Clear sky,34.6,28.3,3,18.12,21.41,110.15,287.06
Guntur,Andhra Pradesh,India,16.3,80.45,19800,2024-09-20 08:50:26,00:25,12:34,34.3,38.6,38.6,996.0,49,22.0,4,89,16,3.2,310,N/A,Broken clouds,34.5,28.0,3,24.71,29.83,114.44,317.1
Nellore,Andhra Pradesh,India,14.4333,79.9667,19800,2024-09-20 08:50:27,00:30,12:39,37.0,37.9,37.9,996.0,31,17.1,10,0,16,5.8,312,N/A,Clear sky,36.7,27.6,3,20.99,23.56,121.59,243.66
Kakinada,Andhra Pradesh,India,16.9333,82.2167,19800,2024-09-20 08:50:27,00:21,12:30,34.5,39.7,39.7,997.0,51,22.9,4,83,16,3.5,253,N/A,Broken clouds,32.2,26.8,2,10.08,11.41,74.39,370.5
Tirupati,Andhra Pradesh,India,13.65,79.4167,19800,2024-09-20 08:50:27,00:30,12:39,32.6,32.5,32.5,942.0,37,16.1,10,0,16,3.2,320,N/A,Clear sky,35.3,25.5,2,4.88,5.65,85.83,206.95
Anantapur,Andhra Pradesh,India,14.6833,77.6,19800,2024-09-20 08:50:28,00:38,12:46,34.2,34.3,34.3,952.0,34,16.2,10,0,16,5.3,291,N/A,Clear sky,34.6,24.3,3,15.27,17.17,101.57,233.65
Kadapa,Andhra Pradesh,India,14.4667,78.8167,19800,2024-09-20 08:50:28,00:30,12:39,37.2,37.7,37.7,978.0,29,16.3,10,0,16,4.5,308,N/A,Clear sky,33.8,24.9,3,9.99,11.32,108.72,226.97
Rajahmundry,Andhra Pradesh,India,16.9833,81.7833,19800,2024-09-20 08:50:28,00:21,12:30,34.0,41.8,41.8,1008.3,59,24.9,6,55,16,5.66,280,N/A,Scattered clouds,31.8,27.6,3,9.77,10.98,105.86,287.06
Chittoor,Andhra Pradesh,India,13.2,79.1167,19800,2024-09-20 08:50:28,00:30,12:39,32.4,32.1,32.1,930.0,36,15.2,10,0,16,2.6,290,N/A,Clear sky,35.9,25.1,2,1.86,2.3,63.66,205.28
Eluru,Andhra Pradesh,India,16.7,81.1,19800,2024-09-20 08:50:29,00:25,12:34,34.6,38.9,38.9,991.0,48,21.9,7,43,16,4.5,320,N/A,Scattered clouds,34.4,26.8,3,12.25,14.28,101.57,280.38
Ongole,Andhra Pradesh,India,15.5,80.05,19800,2024-09-20 08:50:29,00:25,12:34,37.8,39.0,39.0,994.0,30,17.3,3,95,16,4.2,305,N/A,Overcast clouds,36.5,28.6,3,13.59,18.6,110.15,250.34
Srikakulam,Andhra Pradesh,India,18.3,83.9,19800,2024-09-20 08:50:29,00:15,12:25,31.8,36.8,36.8,997.0,61,23.2,9,0,16,3.7,126,N/A,Clear sky,31.2,26.8,3,12.2,12.98,105.86,407.22
Kurnool,Andhra Pradesh,India,15.8309,78.0425,19800,2024-09-20 08:50:30,00:34,12:44,33.6,34.4,34.4,964.0,39,17.5,10,0,16,4.1,280,N/A,Clear sky,33.5,24.6,3,17.94,21.93,117.3,243.66
Bapatla,Andhra Pradesh,India,15.9,80.4667,19800,2024-09-20 08:50:30,00:25,12:34,33.3,37.1,37.1,1000.0,51,21.7,3,95,16,4.0,338,N/A,Overcast clouds,34.6,27.7,3,15.61,20.88,104.43,290.39
Palakollu,Andhra Pradesh,India,16.5333,81.7333,19800,2024-09-20 08:50:30,00:21,12:30,35.1,40.3,40.3,1000.0,49,22.5,9,0,16,3.0,286,N/A,Clear sky,34.1,27.0,3,14.27,16.76,100.14,280.38
Adoni,Andhra Pradesh,India,15.6333,77.2833,19800,2024-09-20 08:50:31,00:34,12:44,33.8,34.5,34.5,959.0,38,17.4,10,0,16,4.8,282,N/A,Clear sky,33.1,23.5,2,7.04,8.59,95.84,233.65
Proddatur,Andhra Pradesh,India,14.7333,78.55,19800,2024-09-20 08:50:31,00:30,12:39,36.3,36.8,36.8,973.0,31,16.4,10,0,16,4.9,323,N/A,Clear sky,35.9,26.1,3,8.69,10.09,105.86,233.65
Narsipatnam,Andhra Pradesh,India,17.6667,82.6167,19800,2024-09-20 08:50:31,00:15,12:25,28.8,32.3,32.3,952.0,71,22.8,9,0,5,1.4,81,N/A,Clear sky,32.5,26.2,1,4.97,6.98,47.21,317.1
